State,Evotes,Sample_Size,Time,Clinton,Trump,Johnson
Arizona,11,458,67,0.395,0.465,0.084
Arizona,11,635,66,0.353,0.347,0.1
Arizona,11,649,62,0.365,0.415,0.12
Arizona,11,467,61,0.385,0.465,0.084
Arizona,11,601,59,0.343,0.347,0.11
Arizona,11,484,56,0.33,0.37,0.08
Arizona,11,528,54,0.415,0.485,0.084
Arizona,11,572,52,0.373,0.317,0.1
Arizona,11,554,51,0.4215,0.5185,0.084
Arizona,11,550,48,0.38,0.4,0.09
Arizona,11,533,47,0.435,0.465,0.084
Arizona,11,494,46,0.383,0.337,0.11
Arizona,11,556,44,0.4215,0.5185,0.06
Arizona,11,718,40,0.42,0.42,0.05
Arizona,11,617,40,0.415,0.495,0.084
Arizona,11,579,39,0.393,0.327,0.06
Arizona,11,600,36,0.4465,0.4135,0.09
Arizona,11,358,34,0.4415,0.4985,0.084
Arizona,11,562,33,0.383,0.357,0.07
Arizona,11,883,29,0.385,0.455,0.084
Arizona,11,550,28,0.43,0.42,0.05
Arizona,11,519,27,0.403,0.307,0.08
Arizona,11,1028,27,0.41,0.44,0.1
Arizona,11,355,27,0.4415,0.5085,0.084
Arizona,11,400,25,0.39,0.37,0.08
